gen,fid,is_mean,is_std,clip_score,rmg,l2m,clip_variance
0,206.34353637695312,5.099559307098389,0.5878000259399414,0.599609375,0.7772959694487105,12.671875,0.10443115234375
1,214.79885864257812,4.592071533203125,0.43477967381477356,0.6015625,0.779623853494333,12.6953125,0.10357666015625
2,214.49241638183594,4.35113525390625,0.5357404947280884,0.603515625,0.785322514845202,12.7578125,0.10150146484375
3,217.82209269205728,4.368722756703694,0.5710922876993815,0.6043294270833334,0.7870941691891462,12.776041666666666,0.10068766276041667
4,221.15176900227866,4.38631025950114,0.6064440806706747,0.6051432291666666,0.7888658235330903,12.794270833333334,0.09987386067708333
5,224.4814453125,4.403897762298584,0.6417958736419678,0.60595703125,0.7906374778770345,12.8125,0.09906005859375
6,227.12489318847656,4.328446269035339,0.6746706962585449,0.6063232421875,0.7920410450677682,12.83203125,0.0985565185546875
7,229.76834106445312,4.252994775772095,0.7075455188751221,0.606689453125,0.7934446122585017,12.8515625,0.098052978515625
8,232.4117889404297,4.17754328250885,0.7404203414916992,0.6070556640625,0.7948481794492352,12.87109375,0.0975494384765625
9,235.05523681640625,4.1020917892456055,0.7732951641082764,0.607421875,0.7962517466399689,12.890625,0.0970458984375
10,246.66468811035156,4.214879035949707,0.8852605819702148,0.60791015625,0.8083289079062009,13.0546875,0.091552734375
